owner,type,violations,buildings,viol_per_bldg,top_category,top_district,d1,d2,d3,d4,d5,d6,d7,d8,d9
MARA AND LO REAL ESTATE LLC,LLC,34,2,17.0,Uncategorized,8,0,0,0,0,0,0,0,34,0
IMT CAPITAL IV GALLERY LLC,LLC,33,1,33.0,COVID,1,33,0,0,0,0,0,0,0,0
HOWARD K PROPERTIES LLC,LLC,33,2,16.5,Uncategorized,1,22,0,0,0,0,0,0,11,0
"BASSIRPOU,HAMID R CO TR ET AL",Corporation,33,1,33.0,Uncategorized,1,33,0,0,0,0,0,0,0,0
442 CEDAR LLC,LLC,33,1,33.0,Uncategorized,1,33,0,0,0,0,0,0,0,0
"TEKCHANDANI,NARAIN CO TR",Corporation,33,2,16.5,Uncategorized,1,17,0,0,0,0,0,16,0,0
2009 CUSA COMMUNITY OWNER LLC,LLC,33,1,33.0,COVID,1,33,0,0,0,0,0,0,0,0
439 COWIES LLC,LLC,33,1,33.0,Uncategorized,1,33,0,0,0,0,0,0,0,0
SOKHA INTERNATIONAL LLC,LLC,33,4,8.2,Uncategorized,2,0,18,15,0,0,0,0,0,0
2H PROPERTY 3060 LLC,LLC,33,2,16.5,COVID,4,0,0,0,26,0,7,0,0,0
TRAMONTANA GROUP II LLC,LLC,33,1,33.0,Uncategorized,6,0,0,0,0,0,33,0,0,0
1941 MAGNOLIA APTS LLC,LLC,33,1,33.0,Uncategorized,7,0,0,0,0,0,0,33,0,0
"PHILLIPS,MARK C CO TR ET AL",Corporation,33,3,11.0,Uncategorized,9,0,0,0,0,0,0,11,7,15
LYNWOOD DEL CAPRI LP,Limited Partnership,33,1,33.0,Uncategorized,8,0,0,0,0,0,0,0,33,0
LBC APARTMENTS LLC,LLC,33,5,6.6,Uncategorized,9,0,0,0,0,0,0,0,0,33
KIT KAT INTERNATIONAL INC,Corporation,32,2,16.0,Uncategorized,1,32,0,0,0,0,0,0,0,0
439 COWLES LLC,LLC,32,3,10.7,Uncategorized,1,32,0,0,0,0,0,0,0,0
"PATEL,KAVITA CO TR CONNOR PATEL",Corporation,32,1,32.0,Uncategorized,1,32,0,0,0,0,0,0,0,0
